"crash_date","daily_collisions"
"2016-04-16","1"
"2019-05-21","1"
"2021-02-26","1"
"2021-03-20","1"
"2021-03-28","1"
"2021-03-31","1"
"2021-04-01","3"
"2021-04-02","2"
"2021-04-04","1"
"2021-04-05","3"
"2021-04-06","4"
"2021-04-07","1"
"2021-04-08","3"
"2021-04-09","2"
"2021-04-10","8"
"2021-04-11","2"
"2021-04-12","4"
"2021-04-13","13"
"2021-04-14","109"
"2021-04-15","91"
"2021-04-16","80"
"2021-06-25","1"
"2021-06-26","2"
"2021-06-30","2"
"2021-07-01","2"
"2021-07-02","1"
"2021-07-03","1"
"2021-07-04","4"
"2021-07-05","3"
"2021-07-06","3"
"2021-07-07","3"
"2021-07-08","16"
"2021-07-09","7"
"2021-09-01","1"
"2021-09-03","1"
"2021-09-05","1"
"2021-09-06","1"
"2021-09-07","4"
"2021-09-08","3"
"2021-09-09","6"
"2021-09-10","14"
"2021-09-11","73"
"2021-11-27","1"
"2021-12-01","1"
"2021-12-04","1"
"2021-12-05","1"
"2021-12-07","1"
"2021-12-08","8"
"2021-12-09","8"
"2021-12-10","9"
"2021-12-11","2"
"2021-12-12","1"
"2021-12-13","2"
"2021-12-14","13"
"2022-02-25","1"
"2022-03-05","1"
"2022-03-08","1"
"2022-03-10","1"
"2022-03-14","1"
"2022-03-20","1"
"2022-03-21","1"
"2022-03-22","1"
"2022-03-23","1"
"2022-03-24","2"
"2022-03-25","7"
"2022-03-26","62"
"2022-04-07","1"
"2022-04-12","1"
"2022-04-22","1"
"2022-04-24","11"
"2022-07-12","1"
